weather,source,seed,k,method,R2,zero,within,gap,recovery,gain_a
nw,AU+US pooled,2,165,tree,0.9418777891148185,0.9408025346740927,0.9896724038940162,0.048869869219923534,0.022002400617994567,1.108226231987346
nw,AU+US pooled,2,165,mlp,0.9881779317470338,0.9408025346740927,0.9896724038940162,0.048869869219923534,0.9694193544849283,1.108226231987346
nw,AU+US pooled,2,247,gain,0.9824872539732548,0.9408025346740927,0.9896724038940162,0.048869869219923534,0.8529738254787024,1.1098603504537312
nw,AU+US pooled,2,247,tree,0.9430740669722533,0.9408025346740927,0.9896724038940162,0.048869869219923534,0.046481243646023546,1.1098603504537312
nw,AU+US pooled,2,247,mlp,0.9890908190886,0.9408025346740927,0.9896724038940162,0.048869869219923534,0.9880993173360253,1.1098603504537312
nw,AU+US pooled,7,5,gain,0.9810907703090006,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.7929823417442414,1.1534225057403582
nw,AU+US pooled,7,5,tree,0.9384005105372673,0.9386724418814664,0.9921645894294572,0.05349214754799081,-0.005083575004259304,1.1534225057403582
nw,AU+US pooled,7,5,mlp,0.983292172575253,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.834136087988537,1.1534225057403582
nw,AU+US pooled,7,10,gain,0.9807022796560129,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.7857197682489597,1.154746973122189
nw,AU+US pooled,7,10,tree,0.9389164558711749,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.004561678692926023,1.154746973122189
nw,AU+US pooled,7,10,mlp,0.9862562727576175,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.889547962782033,1.154746973122189
nw,AU+US pooled,7,20,gain,0.982769674556009,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.8243683362119755,1.1470899900544254
nw,AU+US pooled,7,20,tree,0.9387898072188177,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.0021940666570920324,1.1470899900544254
nw,AU+US pooled,7,20,mlp,0.9907119530683137,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.9728439326568407,1.1470899900544254
nw,AU+US pooled,7,40,gain,0.9848330539613672,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.8629418371825056,1.1370094471570622
nw,AU+US pooled,7,40,tree,0.9386697361725411,0.9386724418814664,0.9921645894294572,0.05349214754799081,-5.05814226810792e-05,1.1370094471570622
nw,AU+US pooled,7,40,mlp,0.9870900906982571,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.9051356327272632,1.1370094471570622
nw,AU+US pooled,7,82,gain,0.986708595417656,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.8980038330503312,1.1113544107355497
nw,AU+US pooled,7,82,tree,0.9386550066296544,0.9386724418814664,0.9921645894294572,0.05349214754799081,-0.0003259403970709553,1.1113544107355497
nw,AU+US pooled,7,82,mlp,0.9906741887734313,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.9721379543663156,1.1113544107355497
nw,AU+US pooled,7,165,gain,0.9867354888779791,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.8985065883435078,1.1153075651894864
nw,AU+US pooled,7,165,tree,0.9399608416417202,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.02408577369412884,1.1153075651894864
nw,AU+US pooled,7,165,mlp,0.9911350169234372,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.9807528290933488,1.1153075651894864
nw,AU+US pooled,7,247,gain,0.9867210267823772,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.8982362291176236,1.112010674805851
nw,AU+US pooled,7,247,tree,0.9411381201542671,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.04609420982002367,1.112010674805851
nw,AU+US pooled,7,247,mlp,0.9905134815627236,0.9386724418814664,0.9921645894294572,0.05349214754799081,0.9691336403113688,1.112010674805851
